time,best_ask,best_bid,high_24h,last_size,low_24h,open_24h,price,product_id,sequence,side,time,trade_id,type,volume_24h,volume_30d,Mid,Returns,Direction
2021-05-16 09:02:30,48988.14,48988.13,49615.11,0.00192092,46490,48666.7,48988.13,BTC-USD,24981839271.0,sell,2021-05-16T09:02:29.969989Z,171124613.0,ticker,19992.92767129,585068.94426157,48988.13,,-1
2021-05-16 09:02:45,48994.49,48988.67,49615.11,0.01016627,46490,48666.7,48994.49,BTC-USD,24981844400.0,buy,2021-05-16T09:02:44.898603Z,171124716.0,ticker,19994.42546417,585070.44205445,48994.49,0.00012981894154151828,1
2021-05-16 09:03:00,48986.26,48986.25,49615.11,0.00070678,46490,48666.7,48986.25,BTC-USD,24981849318.0,sell,2021-05-16T09:02:59.947000Z,171124765.0,ticker,19995.77091082,585071.78750110,48986.25,-0.00016819632142851386,-1
2021-05-16 09:03:15,49032.02,49027.84,49615.11,0.00196985,46490,48666.7,49032.02,BTC-USD,24981855582.0,buy,2021-05-16T09:03:14.951355Z,171124832.0,ticker,19996.20928015,585072.22587043,49032.02,0.0009339075934853936,1
2021-05-16 09:03:30,49041.60,49032.01,49615.11,0.00415571,46490,48666.7,49032.01,BTC-USD,24981862012.0,sell,2021-05-16T09:03:29.799097Z,171124906.0,ticker,19996.82400953,585072.84059981,49032.01,-2.039483793322361e-07,-1
2021-05-16 09:03:45,49036.91,49036.90,49615.11,0.04784031,46490,48666.7,49036.9,BTC-USD,24981867761.0,sell,2021-05-16T09:03:44.706087Z,171124951.0,ticker,19997.67607736,585073.69266764,49036.9,9.972579493446345e-05,1
2021-05-16 09:04:00,48995.86,48982.40,49615.11,0.00002288,46490,48666.7,48995.85,BTC-USD,24981874921.0,sell,2021-05-16T09:03:59.274190Z,171125001.0,ticker,19998.85311313,585074.86970341,48995.85,-0.0008374752804395793,-1
2021-05-16 09:04:15,49039.98,49039.02,49615.11,0.13693246,46490,48666.7,49039.02,BTC-USD,24981882964.0,sell,2021-05-16T09:04:14.679867Z,171125097.0,ticker,20002.76975771,585078.78634799,49039.02,0.0008807070951464311,1
2021-05-16 09:04:30,49032.32,49026.71,49615.11,0.00412985,46490,48666.7,49032.32,BTC-USD,24981889392.0,buy,2021-05-16T09:04:29.460256Z,171125136.0,ticker,20001.07102507,585077.08761535,49032.32,-0.00013663522922027972,-1
2021-05-16 09:04:45,49027.09,49027.08,49615.11,0.00058578,46490,48666.7,49027.09,BTC-USD,24981895865.0,buy,2021-05-16T09:04:44.500481Z,171125184.0,ticker,20001.90238679,585077.91897707,49027.09,-0.00010667002799549727,-1
2021-05-16 09:05:00,49003.41,49003.40,49615.11,0.0021671,46490,48666.7,49003.41,BTC-USD,24981900882.0,buy,2021-05-16T09:04:59.657806Z,171125220.0,ticker,20002.48580944,585078.50239972,49003.41,-0.000483114958315442,-1
2021-05-16 09:05:15,49003.41,49003.40,49615.11,0.00214789,46490,48666.7,49003.41,BTC-USD,24981904399.0,buy,2021-05-16T09:05:13.053828Z,171125241.0,ticker,20004.80812946,585080.82471974,49003.41,0.0,-1
2021-05-16 09:05:30,48981.05,48981.04,49615.11,0.0010427,46490,48666.7,48981.05,BTC-USD,24981908117.0,buy,2021-05-16T09:05:26.773503Z,171125266.0,ticker,20005.14816308,585081.16475336,48981.05,-0.0004563989103605177,-1
2021-05-16 09:05:45,48971.00,48970.99,49615.11,0.00609559,46490,48666.7,48971,BTC-USD,24981912871.0,buy,2021-05-16T09:05:43.353476Z,171125287.0,ticker,20005.47025363,585081.48684391,48971.0,-0.0002052024441606076,-1
2021-05-16 09:06:00,48974.21,48974.20,49615.11,0.00077229,46490,48666.7,48974.21,BTC-USD,24981916480.0,buy,2021-05-16T09:05:58.769837Z,171125304.0,ticker,20009.62704530,585085.64363558,48974.21,6.554685014501447e-05,1
2021-05-16 09:06:15,48980.40,48980.39,49615.11,0.00195371,46490,48666.7,48980.4,BTC-USD,24981920054.0,buy,2021-05-16T09:06:13.995396Z,171125342.0,ticker,20011.42362664,585087.44021692,48980.4,0.00012638506770110564,1
2021-05-16 09:06:30,48971.00,48970.99,49615.11,0.09,46490,48666.7,48970.99,BTC-USD,24981923444.0,sell,2021-05-16T09:06:29.954738Z,171125390.0,ticker,20012.28754034,585088.30413062,48970.99,-0.00019213612035427007,-1
2021-05-16 09:06:45,48940.97,48940.96,49615.11,0.00259818,46490,48666.7,48940.97,BTC-USD,24981929271.0,buy,2021-05-16T09:06:44.552235Z,171125504.0,ticker,20014.57423540,585090.59082568,48940.97,-0.0006132039628391064,-1
2021-05-16 09:07:00,48949.30,48949.29,49615.11,0.0082694,46490,48666.7,48949.3,BTC-USD,24981934134.0,buy,2021-05-16T09:06:59.688211Z,171125557.0,ticker,20015.21890800,585091.23549828,48949.3,0.00017019056174039093,1
2021-05-16 09:07:15,49004.92,49004.91,49615.11,0.00025391,46490,48666.7,49004.92,BTC-USD,24981940608.0,buy,2021-05-16T09:07:13.920756Z,171125623.0,ticker,20017.05177954,585093.06836982,49004.92,0.001135632665495812,1
