,LMA,MinPrice,MaxPrice,MARKET,STRATEGY,OUT
1439,290,18,18,1.2189619644994159,1.0,-0.21896196449941585
1403,290,10,18,1.2189619644994159,1.0,-0.21896196449941585
1387,290,8,4,1.2189619644994159,1.0,-0.21896196449941585
1388,290,8,6,1.2189619644994159,1.0,-0.21896196449941585
1389,290,8,8,1.2189619644994159,1.0,-0.21896196449941585
1390,290,8,10,1.2189619644994159,1.0,-0.21896196449941585
1391,290,8,12,1.2189619644994159,1.0,-0.21896196449941585
1392,290,8,14,1.2189619644994159,1.0,-0.21896196449941585
1393,290,8,16,1.2189619644994159,1.0,-0.21896196449941585
1394,290,8,18,1.2189619644994159,1.0,-0.21896196449941585
1395,290,10,2,1.2189619644994159,1.0,-0.21896196449941585
1396,290,10,4,1.2189619644994159,1.0,-0.21896196449941585
1397,290,10,6,1.2189619644994159,1.0,-0.21896196449941585
1398,290,10,8,1.2189619644994159,1.0,-0.21896196449941585
1399,290,10,10,1.2189619644994159,1.0,-0.21896196449941585
1400,290,10,12,1.2189619644994159,1.0,-0.21896196449941585
1401,290,10,14,1.2189619644994159,1.0,-0.21896196449941585
1386,290,8,2,1.2189619644994159,1.0,-0.21896196449941585
1385,290,6,18,1.2189619644994159,1.0,-0.21896196449941585
1384,290,6,16,1.2189619644994159,1.0,-0.21896196449941585
1375,290,4,16,1.2189619644994159,1.0,-0.21896196449941585
1369,290,4,4,1.2189619644994159,1.0,-0.21896196449941585
1370,290,4,6,1.2189619644994159,1.0,-0.21896196449941585
1371,290,4,8,1.2189619644994159,1.0,-0.21896196449941585
1372,290,4,10,1.2189619644994159,1.0,-0.21896196449941585
1373,290,4,12,1.2189619644994159,1.0,-0.21896196449941585
1374,290,4,14,1.2189619644994159,1.0,-0.21896196449941585
1376,290,4,18,1.2189619644994159,1.0,-0.21896196449941585
1383,290,6,14,1.2189619644994159,1.0,-0.21896196449941585
1377,290,6,2,1.2189619644994159,1.0,-0.21896196449941585
1378,290,6,4,1.2189619644994159,1.0,-0.21896196449941585
1379,290,6,6,1.2189619644994159,1.0,-0.21896196449941585
1380,290,6,8,1.2189619644994159,1.0,-0.21896196449941585
1381,290,6,10,1.2189619644994159,1.0,-0.21896196449941585
