,Unnamed: 0,id,base_currency,quote_currency,base_min_size,base_max_size,quote_increment,base_increment,display_name,min_market_funds,max_market_funds,margin_enabled,post_only,limit_only,cancel_only,trading_disabled,status,status_message
116,116,SNX-USD,SNX,USD,0.1,19000.0,0.0001,0.001,SNX/USD,1.0,100000.0,False,False,False,False,False,online,
117,117,GRT-BTC,GRT,BTC,10.0,2500000.0,1e-08,0.01,GRT/BTC,1e-07,5.2,False,False,False,False,False,online,
118,118,CGLD-GBP,CGLD,GBP,0.1,34000.0,0.0001,0.01,CGLD/GBP,1.0,100000.0,False,False,False,False,False,online,
120,120,BNT-EUR,BNT,EUR,1.0,95000.0,0.0001,1e-06,BNT/EUR,1.0,92000.0,False,False,False,False,False,online,
121,121,GRT-EUR,GRT,EUR,10.0,2500000.0,0.0001,0.01,GRT/EUR,10.0,92000.0,False,False,False,False,False,online,
122,122,WBTC-BTC,WBTC,BTC,0.0001,10.0,0.0001,1e-08,WBTC/BTC,0.0001,10.0,False,False,True,False,False,online,
123,123,ALGO-USD,ALGO,USD,1.0,500000.0,0.0001,1.0,ALGO/USD,10.0,100000.0,False,False,False,False,False,online,
124,124,LTC-BTC,LTC,BTC,0.1,8000.0,1e-06,1e-08,LTC/BTC,0.001,120.0,False,False,False,False,False,online,
125,125,DNT-USDC,DNT,USDC,1.0,10000000.0,1e-06,1.0,DNT/USDC,0.1,100000.0,False,False,True,False,False,online,
126,126,XTZ-BTC,XTZ,BTC,1.0,100000.0,1e-08,0.01,XTZ/BTC,0.001,10.0,False,False,False,False,False,online,
127,127,ZRX-EUR,ZRX,EUR,1.0,600000.0,1e-06,1e-05,ZRX/EUR,10.0,100000.0,False,False,False,False,False,online,
128,128,GRT-GBP,GRT,GBP,10.0,2500000.0,0.0001,0.01,GRT/GBP,10.0,82000.0,False,False,False,False,False,online,
