Currency,Date,<CLOSE>,24h Open (USD),24h High (USD),24h Low (USD)
BTC,1/3/2021,33002.53643,32074.10661,34452.08034,31885.58162
BTC,1/4/2021,31431.61228,32788.58345,33358.39935,28154.1103
BTC,1/5/2021,34433.60651,31991.92686,34435.41748,29948.65363
BTC,1/6/2021,36275.75635,34001.34476,36461.69177,33351.02812
BTC,1/7/2021,39713.50786,36806.41976,40324.01403,36356.43076
BTC,1/8/2021,40519.4486,39420.8007,41962.36213,36741.33018
BTC,1/9/2021,40258.92399,40558.10212,41375.43068,38766.27616
BTC,1/10/2021,38709.76537,40096.3332,41186.52343,34897.55047
BTC,1/11/2021,34409.64238,38132.53579,38204.75441,30305.30005
BTC,1/12/2021,34214.61026,35432.85914,36566.90906,32538.94117
BTC,1/13/2021,37017.0075,34070.32562,37798.8601,32470.58526
BTC,1/14/2021,38435.86351,37373.16196,40066.31976,36770.79512
BTC,1/15/2021,36751.58497,39127.67852,39673.0723,34425.48794
BTC,1/16/2021,36016.77961,36752.77118,37943.51217,35398.86752
BTC,1/17/2021,36375.81138,36016.75309,36840.13285,33870.13838
BTC,1/18/2021,36346.6095,35847.83342,37440.40401,34816.28925
BTC,1/19/2021,36577.51965,36639.98591,37876.15893,36136.53557
BTC,1/20/2021,35004.53263,35909.43225,36409.7086,33430.82199
BTC,1/21/2021,30606.18268,35491.42392,35612.7372,30077.27896
BTC,1/22/2021,33368.36593,30844.83315,33873.77299,28845.31148
BTC,1/23/2021,32070.09743,33000.44664,33501.24845,31451.2963
BTC,1/24/2021,32285.72613,32107.39182,33088.54855,30987.70386
BTC,1/25/2021,32500.25596,32297.50417,34893.98402,31949.28237
BTC,1/26/2021,32324.55565,32270.82562,32770.80461,31062.54953
BTC,1/27/2021,30534.99937,32497.84846,32570.2815,29452.78559
BTC,1/28/2021,33408.21834,30426.0844,33481.48542,29921.96008
BTC,1/29/2021,34842.55739,33424.59559,38468.07829,31984.00892
BTC,1/30/2021,34622.37323,34265.37666,34920.29115,32945.36998
BTC,1/31/2021,33087.36986,34304.23451,34373.73401,32229.54518
BTC,2/1/2021,33613.32076,33138.77651,34715.65573,32341.98991
BTC,2/2/2021,35632.90195,33525.28825,36008.31082,33437.74691
BTC,2/3/2021,37397.42636,35519.70777,37505.30371,35416.73178
BTC,2/4/2021,37256.25211,37645.94564,38731.08795,36207.49431
BTC,2/5/2021,37851.59659,36970.81227,38332.41692,36637.64562
BTC,2/6/2021,40302.79979,38305.27539,40999.04684,38233.72667
BTC,2/7/2021,38461.6814,39253.22773,39698.0659,37388.34169
BTC,2/8/2021,44716.68547,38853.29945,44981.86,38036.28325
BTC,2/9/2021,46674.85169,46433.48964,48226.25089,45058.069
BTC,2/10/2021,45237.47569,46512.99056,47374.35591,43886.27604
BTC,2/11/2021,47500.89752,44859.84767,48600.63193,44070.72706
BTC,2/12/2021,47884.18286,47992.62291,48925.53448,46550.14795
BTC,2/13/2021,47005.19065,47405.55715,48189.77799,46333.57366
BTC,2/14/2021,49151.16758,47231.13334,49716.43638,47105.17175
BTC,2/15/2021,48125.9922,48654.83072,49037.91611,45926.25155
BTC,2/16/2021,48840.41447,47944.48497,50584.84895,47088.83608
BTC,2/17/2021,52165.30256,49186.33387,52621.83507,48990.89519
BTC,2/18/2021,51728.5088,52146.00339,52532.29712,50971.74318
BTC,2/19/2021,55719.20436,51598.14371,56283.54984,50821.47282
BTC,2/20/2021,54801.64864,55917.03918,57487.02831,54039.67392
BTC,2/21/2021,57128.64261,55913.35145,58332.36462,55531.5507
BTC,2/22/2021,54181.91465,57453.35801,57535.86348,47780.74958
BTC,2/23/2021,48172.87748,54124.53909,54180.23218,45047.78286
BTC,2/24/2021,48745.43298,48923.03508,51413.61356,47032.52426
BTC,2/25/2021,48291.41208,49746.65163,52076.31772,47501.6748
BTC,2/26/2021,45752.11492,47135.55173,48453.73863,44279.44954
BTC,2/27/2021,46642.60608,46326.82407,48353.001,46207.70578
BTC,2/28/2021,45092.80657,46204.05856,46675.19785,43119.15702
BTC,3/1/2021,49248.91401,45234.36876,49520.72499,45044.38376
BTC,3/2/2021,47900.77688,49636.02146,50211.43717,47200.04217
BTC,3/3/2021,50811.85517,48526.99036,52636.22299,48195.1231
BTC,3/4/2021,48259.48708,50433.43615,51781.96783,47578.30723
BTC,3/5/2021,49149.73083,48404.21363,49462.13301,46393.39146
BTC,3/6/2021,48879.1519,48791.79051,49173.76187,47127.04097
BTC,3/7/2021,50594.69857,48887.56641,51222.8723,48887.56641
BTC,3/8/2021,51503.25813,50948.88071,51916.41395,49390.18272
BTC,3/9/2021,54458.03781,52360.74816,54804.07845,51865.59003
BTC,3/10/2021,56915.17394,54924.68653,57336.74541,53101.23637
BTC,3/11/2021,57636.75796,55898.86482,58034.70396,54323.6085
BTC,3/12/2021,57306.16626,57817.27021,58077.9516,55116.25835
BTC,3/13/2021,60743.04182,57227.23345,61556.59449,56124.14999
BTC,3/14/2021,60197.90199,60972.49128,61453.05834,59275.70383
BTC,3/15/2021,56300.33411,58962.48846,60570.69365,54790.32931
BTC,3/16/2021,56639.78395,55668.62353,56821.88244,53350.36773
BTC,3/17/2021,58567.28378,56908.56502,58923.54893,54201.70163
BTC,3/18/2021,57983.09474,58883.01836,60074.36985,57075.06857
BTC,3/19/2021,58451.73147,57661.41518,59461.77526,56327.79283
BTC,3/20/2021,58593.60245,58127.68804,59919.21177,57914.89451
BTC,3/21/2021,57796.46737,58139.30027,58649.13419,55645.05427
BTC,3/22/2021,54329.35863,57389.21162,58407.61921,53795.15409
BTC,3/23/2021,54794.29771,54143.10604,55858.36925,53031.32679
BTC,3/24/2021,52787.74553,54375.80763,57225.29881,51777.97109
BTC,3/25/2021,52173.86798,52335.56503,53209.40638,50458.09997
BTC,3/26/2021,54483.04573,51344.04898,54806.88151,51286.29118
BTC,3/27/2021,56234.35611,55067.8244,56520.30729,54022.07694
BTC,3/28/2021,55343.92582,55843.74892,56541.00653,54741.62637
BTC,3/29/2021,57627.67925,55786.54607,58353.52939,54929.68059
BTC,3/30/2021,58734.47543,57613.16126,59379.99216,57069.22927
BTC,3/31/2021,58724.66452,58810.15589,59835.39233,56934.31212
BTC,4/1/2021,58984.61293,58764.43309,59458.98456,57973.3521
BTC,4/2/2021,58821.62699,58726.08457,60101.75233,58478.59835
BTC,4/3/2021,57517.79877,58958.42898,59713.21014,57185.76801
BTC,4/4/2021,58177.40276,57134.86005,58540.98471,56552.22227
BTC,4/5/2021,58843.55954,58230.67554,59243.03618,56846.96905
