Currency,Date,<CLOSE>,24h Open (USD),24h High (USD),24h Low (USD)
BTC,4/6/2021,58040.1876,59133.65574,59484.19947,57421.85309
BTC,4/7/2021,56508.94286,58030.62185,58645.77297,55541.90613
BTC,4/8/2021,57880.90568,55996.08036,58179.65686,55758.49118
BTC,4/9/2021,58171.90902,58094.74413,58880.82161,57717.85978
BTC,4/10/2021,59295.95004,58149.65059,61065.22262,57924.07526
BTC,4/11/2021,59822.90168,59765.10382,60588.47197,59229.86011
BTC,4/12/2021,59853.19724,59998.15991,61219.71861,59428.21475
BTC,4/13/2021,63223.88439,59841.56137,63707.34236,59799.44058
BTC,4/14/2021,62926.55718,63562.67354,64801.78787,61400.28397
BTC,4/15/2021,63346.78904,62987.27018,63850.25073,62094.63291
BTC,4/16/2021,61965.7826,63225.09392,63520.32537,60033.53467
BTC,4/17/2021,60574.44473,61444.2325,62534.0285,59802.88927
BTC,4/18/2021,56850.83017,60191.52541,60531.98885,52148.98354
BTC,4/19/2021,56224.10159,56335.38914,57609.36812,54449.24533
BTC,4/20/2021,56608.76975,55723.22726,57121.9439,53442.85166
BTC,4/21/2021,54144.42748,56508.15124,56809.14639,53913.85052
BTC,4/22/2021,51965.05956,53830.82386,55471.07637,50500.73186
BTC,4/23/2021,50669.14438,51714.07397,52111.18507,47467.91203
BTC,4/24/2021,50733.7695,51217.17233,51253.44295,48932.15881
BTC,4/25/2021,48542.9522,50177.2374,50668.65902,47105.59307
BTC,4/26/2021,53558.70784,49139.23095,54398.59279,48854.58137
BTC,4/27/2021,55123.86198,54059.47407,55398.07415,53351.1154
BTC,4/28/2021,54591.51533,55086.93871,56458.63581,53915.35483
BTC,4/29/2021,53260.29534,54893.87167,55224.90796,52403.74361
BTC,4/30/2021,57302.64642,53598.8795,57434.93313,53097.76279
BTC,5/1/2021,57677.97522,57741.02091,58511.25605,57062.70007
BTC,5/2/2021,56427.04313,57824.30019,57925.74157,56123.03951
BTC,5/3/2021,57255.30684,56639.43979,59001.35964,56508.24045
BTC,5/4/2021,53658.84312,57218.80533,57246.89119,53613.59522
BTC,5/5/2021,57252.70218,53270.22912,57977.61342,52987.15866
