<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XTZ.V,D,20180705,000000,2.1,2.1,1.89,2,0,0
XTZ.V,D,20180706,000000,2,2.13,1.4,1.92,0,0
XTZ.V,D,20180707,000000,1.92,2.05,1.84,1.84,0,0
XTZ.V,D,20180708,000000,1.84,2.88,1.84,2.67,0,0
XTZ.V,D,20180709,000000,2.67,2.67,2.1,2.35,0,0
XTZ.V,D,20180710,000000,2.35,2.69,2.26,2.62,0,0
XTZ.V,D,20180711,000000,2.62,2.7,2.18,2.22,0,0
XTZ.V,D,20180712,000000,2.22,2.27,1.83,1.88,0,0
XTZ.V,D,20180713,000000,1.88,2.2,1.81,2.02,0,0
XTZ.V,D,20180714,000000,2.02,2.12,1.93,1.97,0,0
XTZ.V,D,20180715,000000,1.97,2.33,1.93,2.26,0,0
XTZ.V,D,20180716,000000,2.26,2.49,2.2,2.35,0,0
XTZ.V,D,20180717,000000,2.35,2.55,2.28,2.36,0,0
XTZ.V,D,20180718,000000,2.36,2.57,2.31,2.35,0,0
XTZ.V,D,20180719,000000,2.35,2.42,2.25,2.27,0,0
XTZ.V,D,20180720,000000,2.27,2.33,2.07,2.09,0,0
XTZ.V,D,20180721,000000,2.09,2.21,2,2.19,0,0
XTZ.V,D,20180722,000000,2.19,2.3,2.13,2.16,0,0
XTZ.V,D,20180723,000000,2.17,2.3,2.15,2.2,0,0
XTZ.V,D,20180724,000000,2.2,2.3,2.1,2.14,0,0
XTZ.V,D,20180725,000000,2.14,2.2,2.02,2.18,0,0
XTZ.V,D,20180726,000000,2.18,2.22,2.03,2.1,0,0
XTZ.V,D,20180727,000000,2.1,2.17,2.03,2.13,0,0
XTZ.V,D,20180728,000000,2.13,2.21,2.04,2.07,0,0
XTZ.V,D,20180729,000000,2.07,2.16,2.04,2.11,0,0
XTZ.V,D,20180730,000000,2.11,2.16,1.98,2.1,0,0
XTZ.V,D,20180731,000000,2.1,2.23,1.84,1.87,0,0
XTZ.V,D,20180801,000000,1.87,2.04,1.74,1.86,0,0
XTZ.V,D,20180802,000000,1.86,2,1.67,1.7,0,0
XTZ.V,D,20180803,000000,1.7,1.96,1.57,1.87,0,0
XTZ.V,D,20180804,000000,1.87,1.98,1.75,1.88,0,0
XTZ.V,D,20180805,000000,1.88,1.96,1.82,1.88,0,0
XTZ.V,D,20180806,000000,1.88,1.98,1.8,1.82,0,0
XTZ.V,D,20180807,000000,1.82,1.99,1.74,1.76,0,0
XTZ.V,D,20180808,000000,1.76,1.84,1.53,1.68,0,0
XTZ.V,D,20180809,000000,1.68,1.73,1.54,1.67,0,0
XTZ.V,D,20180810,000000,1.67,1.72,1.48,1.5,0,0
XTZ.V,D,20180811,000000,1.5,1.58,1.4,1.52,0,0
XTZ.V,D,20180812,000000,1.52,1.63,1.48,1.5,0,0
XTZ.V,D,20180813,000000,1.5,1.59,1.22,1.29,0,0
XTZ.V,D,20180814,000000,1.29,1.44,1.17,1.24,0,0
XTZ.V,D,20180815,000000,1.24,1.49,1.22,1.35,0,0
XTZ.V,D,20180816,000000,1.35,1.57,1.25,1.28,0,0
XTZ.V,D,20180817,000000,1.28,1.55,1.26,1.37,0,0
XTZ.V,D,20180818,000000,1.37,1.59,1.31,1.36,0,0
