date,time,Mid,Returns,Direction
1/29/2021,8:10:00,32621.67,0.009206,1
1/29/2021,8:20:00,32610.21,-0.000351,-1
1/29/2021,7:50:00,32278.46,0.002792,1
1/29/2021,8:00:00,32322.73,0.001371,1
1/29/2021,8:10:00,32621.67,0.009206,1
1/29/2021,8:20:00,32256.16,-0.011268,-1
1/29/2021,8:30:00,32268.77,0.000391,1
1/29/2021,8:00:00,32322.73,0.001371,1
1/29/2021,8:10:00,32621.67,0.009206,1
1/29/2021,8:20:00,32256.16,-0.011268,-1
1/29/2021,8:30:00,32080.73,-0.005453,-1
1/29/2021,8:40:00,32064.52,-0.000505,-1
1/29/2021,8:10:00,32621.67,0.009206,1
1/29/2021,8:20:00,32256.16,-0.011268,-1
1/29/2021,8:30:00,32080.73,-0.005453,-1
1/29/2021,8:40:00,32819.18,0.022758,1
1/29/2021,8:50:00,32816.46,-0.000083,-1
1/29/2021,8:20:00,32256.16,-0.011268,-1
1/29/2021,8:30:00,32080.73,-0.005453,-1
1/29/2021,8:40:00,32819.18,0.022758,1
1/29/2021,8:50:00,34571.77,0.052024,1
1/29/2021,9:00:00,34577.36,0.000162,1
1/29/2021,8:30:00,32080.73,-0.005453,-1
1/29/2021,8:40:00,32819.18,0.022758,1
1/29/2021,8:50:00,34571.77,0.052024,1
1/29/2021,9:00:00,36344.11,0.049995,1
1/29/2021,9:10:00,36357.05,0.000356,1
1/29/2021,8:40:00,32819.18,0.022758,1
1/29/2021,8:50:00,34571.77,0.052024,1
1/29/2021,9:00:00,36344.11,0.049995,1
1/29/2021,9:10:00,35661.24,-0.018968,-1
1/29/2021,9:20:00,35674.34,0.000367,1
1/29/2021,8:50:00,34571.77,0.052024,1
1/29/2021,9:00:00,36344.11,0.049995,1
1/29/2021,9:10:00,35661.24,-0.018968,-1
1/29/2021,9:20:00,36253.33,0.016467,1
1/29/2021,9:30:00,36261.02,0.000212,1
1/29/2021,9:00:00,36344.11,0.049995,1
1/29/2021,9:10:00,35661.24,-0.018968,-1
1/29/2021,9:20:00,36253.33,0.016467,1
