,time,low,high,open,close,volume
0,1609459200,28751.82,29083.75,28990.08,29039.66,1204.30766541
1,1609372800,28000.0,29321.9,28897.42,28990.08,28813.88691084
2,1609286400,27311.73,29018.26,27366.35,28897.42,28181.49681491
3,1609200000,25833.73,27396.77,27039.39,27366.35,20668.10433798
4,1609113600,26086.19,27477.0,26255.16,27040.36,21265.70934972
5,1609027200,25772.55,28387.0,26482.64,26258.65,33627.00745897
6,1608940800,24490.01,26822.0,24704.71,26475.35,24782.44015598
7,1608854400,23416.0,24770.95,23718.61,24704.71,15792.47583445
8,1608768000,22712.89,23785.0,23226.18,23717.96,16440.75295146
9,1608681600,22600.0,24090.0,23824.13,23228.35,23412.12172023
10,1608595200,22380.05,23839.78,22729.4,23823.27,18597.6512303
11,1608508800,21913.84,24118.75,23476.51,22729.4,25728.63855953
12,1608422400,23100.0,24300.0,23850.0,23476.51,14963.41787144
13,1608336000,22770.0,24200.0,23138.89,23849.99,20577.66441198
14,1608249600,22329.0,23280.0,22826.37,23137.76,24829.23581848
15,1608163200,21252.01,23776.94,21360.5,22826.48,53602.34952384
16,1608076800,19300.0,21569.94,19443.19,21359.65,33350.23500216
17,1607990400,19051.27,19565.0,19272.37,19444.6,15345.21212651
18,1607904000,18967.68,19349.98,19166.65,19272.37,9102.36972564
19,1607817600,18730.0,19421.03,18821.28,19166.65,10624.20069187
20,1607731200,18023.57,18955.34,18044.19,18821.28,8616.1725039
21,1607644800,17580.0,18293.08,18257.18,18042.15,16953.63356031
22,1607558400,17905.0,18556.42,18546.55,18253.44,14899.20296937
23,1607472000,17639.0,18647.33,18316.22,18546.55,20667.36635634
24,1607385600,18200.0,19299.51,19177.08,18316.22,15161.86263318
25,1607299200,18901.0,19432.57,19375.6,19177.71,8977.45166263
26,1607212800,18878.0,19430.25,19158.96,19375.6,6665.28189472
27,1607126400,18501.0,19189.98,18658.09,19158.96,7082.22230272
28,1607040000,18576.05,19546.46,19446.43,18658.1,16382.87739223
29,1606953600,18885.0,19625.64,19222.45,19448.64,14648.29683367
30,1606867200,18335.0,19340.0,18778.18,19225.63,16227.13637423
31,1606780800,18109.0,19915.14,19713.94,18782.97,30442.86543674
