time,best_ask,best_bid,high_24h,last_size,low_24h,open_24h,price,product_id,sequence,side,time,trade_id,type,volume_24h,volume_30d
2021-01-28 17:30:00,32272.60,32270.60,32500,0.00221953,29513.72,30558.89,32272.6,BTC-USD,20544406514.0,buy,2021-01-28T17:29:59.635451Z,127081416.0,ticker,39324.46142367,1069911.62878346
2021-01-28 17:40:00,32272.90,32270.33,32500,0.01183313,29513.72,30558.89,32272.9,BTC-USD,20544725309.0,buy,2021-01-28T17:39:59.404027Z,127084373.0,ticker,39804.82742052,1070391.99478031
2021-01-28 17:50:00,32296.91,32296.90,32500,0.00606958,29513.72,30558.89,32296.91,BTC-USD,20545015182.0,buy,2021-01-28T17:49:57.756148Z,127086179.0,ticker,40018.95513059,1070606.12249038
2021-01-28 18:00:00,32296.91,32296.90,32500,0.00888794,29513.72,30558.89,32296.91,BTC-USD,20545015887.0,buy,2021-01-28T17:50:00.121169Z,127086180.0,ticker,40018.96401853,1070606.13137832
