<DATE>,close,returns,lag_1,lag_2,direction,position,strategy,strategy_tc
2021-02-06 00:00:00,37840.0,0.0,1.0,1.0,-1,-1,-0.0,-0.005
2021-02-06 12:00:00,40060.7,0.057029059690645714,1.0,1.0,1,-1,-0.057029059690645714,-0.057029059690645714
2021-02-07 00:00:00,40060.7,0.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-07 12:00:00,38828.3,-0.031246441671169117,1.0,1.0,-1,-1,0.031246441671169117,0.031246441671169117
2021-02-08 00:00:00,38828.3,0.0,0.0,1.0,-1,-1,-0.0,-0.0
2021-02-08 12:00:00,44667.9,0.14010576063874347,1.0,0.0,1,1,0.14010576063874347,0.13510576063874347
2021-02-09 00:00:00,44667.9,0.0,1.0,1.0,-1,-1,-0.0,-0.005
2021-02-09 12:00:00,46880.5,0.04834668789899347,1.0,1.0,1,-1,-0.04834668789899347,-0.04834668789899347
2021-02-10 00:00:00,46880.5,0.0,1.0,1.0,-1,-1,-0.0,-0.0
2021-02-10 12:00:00,45229.5,-0.03585228192201419,1.0,1.0,-1,-1,0.03585228192201419,0.03585228192201419
2021-02-11 00:00:00,45229.5,0.0,0.0,1.0,-1,-1,-0.0,-0.0
2021-02-11 12:00:00,47571.7,0.05048851779568183,1.0,0.0,1,1,0.05048851779568183,0.04548851779568183
