<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ETH.V,60,20200417,010000,173.1,174.29,171.58,174.27,0,0
ETH.V,60,20200417,020000,174.25,174.95,171.6,172.61,0,0
ETH.V,60,20200417,030000,172.61,173.37,170.46,171.75,0,0
ETH.V,60,20200417,040000,171.76,173.42,171.52,173.11,0,0
ETH.V,60,20200417,050000,173.05,173.05,171.27,171.34,0,0
ETH.V,60,20200417,060000,171.31,171.78,170.42,171.69,0,0
ETH.V,60,20200417,070000,171.7,171.7,168.83,169.44,0,0
ETH.V,60,20200417,080000,169.46,171.45,169,170.96,0,0
ETH.V,60,20200417,090000,170.96,170.99,168.98,169.45,0,0
ETH.V,60,20200417,100000,169.49,170.64,169.16,170.1,0,0
ETH.V,60,20200417,110000,170.08,171.28,169.79,170.74,0,0
ETH.V,60,20200417,120000,170.74,172.82,170.71,171.95,0,0
ETH.V,60,20200417,130000,171.95,171.97,171.15,171.44,0,0
ETH.V,60,20200417,140000,171.43,172.29,169.16,169.78,0,0
ETH.V,60,20200417,150000,169.74,170.7,169.72,170.7,0,0
ETH.V,60,20200417,160000,170.72,170.73,169.03,170.42,0,0
ETH.V,60,20200417,170000,170.46,171.05,169.46,169.75,0,0
ETH.V,60,20200417,180000,169.77,170.47,169.57,170.07,0,0
ETH.V,60,20200417,190000,170.08,170.9,170,170.87,0,0
ETH.V,60,20200417,200000,170.86,171.11,170.11,170.33,0,0
ETH.V,60,20200417,210000,170.36,170.36,169.45,170.16,0,0
ETH.V,60,20200417,220000,170.16,171.51,170.12,171.21,0,0
ETH.V,60,20200417,230000,171.21,171.65,170.88,170.88,0,0
ETH.V,60,20200417,235900,170.88,171.25,169.83,169.98,0,0
ETH.V,60,20200418,010000,170.02,170.86,169.98,170.51,0,0
ETH.V,60,20200418,020000,170.53,175.04,170.53,170.95,0,0
ETH.V,60,20200418,030000,170.95,173.08,170.93,172.76,0,0
ETH.V,60,20200418,040000,172.75,173.37,172.62,173.14,0,0
ETH.V,60,20200418,050000,173.23,174.31,173.23,173.86,0,0
ETH.V,60,20200418,060000,173.85,174.14,173.13,173.33,0,0
ETH.V,60,20200418,070000,173.25,174,173.13,173.13,0,0
ETH.V,60,20200418,080000,173.13,174.18,173.11,173.7,0,0
ETH.V,60,20200418,090000,173.71,174.04,173.31,173.4,0,0
ETH.V,60,20200418,100000,173.4,173.78,173.06,173.6,0,0
ETH.V,60,20200418,110000,173.6,174.05,173.26,173.46,0,0
ETH.V,60,20200418,120000,173.48,173.95,173.43,173.51,0,0
ETH.V,60,20200418,130000,173.5,173.55,171.8,172.55,0,0
ETH.V,60,20200418,140000,172.59,174.46,172.14,174.46,0,0
ETH.V,60,20200418,150000,174.34,180.13,173.8,179.16,0,0
ETH.V,60,20200418,160000,179.08,184.76,178.95,183.94,0,0
ETH.V,60,20200418,170000,183.92,184.58,182.37,183,0,0
ETH.V,60,20200418,180000,183.13,184.98,182.69,184.44,0,0
ETH.V,60,20200418,190000,184.49,185.08,181.72,182.93,0,0
ETH.V,60,20200418,200000,182.99,182.99,182.14,182.51,0,0
ETH.V,60,20200418,210000,182.49,182.7,182.13,182.5,0,0
ETH.V,60,20200418,220000,182.54,183.29,182.36,182.93,0,0
ETH.V,60,20200418,230000,182.95,183.56,182.52,183.35,0,0
ETH.V,60,20200418,235900,183.37,184.4,183.35,184.38,0,0
ETH.V,60,20200419,010000,184.39,190.26,184.3,188.43,0,0
ETH.V,60,20200419,020000,188.19,189.97,186.71,187.84,0,0
ETH.V,60,20200419,030000,187.81,188.49,185.08,186.61,0,0
ETH.V,60,20200419,040000,186.62,187.3,186.15,187.17,0,0
ETH.V,60,20200419,050000,187.16,188.69,186.9,187.62,0,0
ETH.V,60,20200419,060000,187.7,187.74,186.63,187.2,0,0
ETH.V,60,20200419,070000,187.2,187.79,185.97,186.25,0,0
ETH.V,60,20200419,080000,186.2,186.44,180.18,180.65,0,0
ETH.V,60,20200419,090000,180.65,183.6,179.49,182.95,0,0
ETH.V,60,20200419,100000,182.98,183.6,182.19,182.5,0,0
ETH.V,60,20200419,110000,182.52,183.11,181.31,182.79,0,0
ETH.V,60,20200419,120000,182.79,184.47,181.94,184.34,0,0
ETH.V,60,20200419,130000,184.34,184.72,182.84,183.4,0,0
ETH.V,60,20200419,140000,183.42,183.47,181.98,182.99,0,0
ETH.V,60,20200419,150000,183.01,183.36,182.28,183.02,0,0
ETH.V,60,20200419,160000,183.1,183.1,179.52,180.52,0,0
ETH.V,60,20200419,170000,180.51,180.51,176.82,179.71,0,0
ETH.V,60,20200419,180000,179.67,179.89,178.23,179.27,0,0
ETH.V,60,20200419,190000,179.18,181.19,178.49,181.19,0,0
ETH.V,60,20200419,200000,181.14,182.9,180.83,181.93,0,0
ETH.V,60,20200419,210000,182.22,182.46,181.21,182.31,0,0
ETH.V,60,20200419,220000,182.36,182.43,180.76,181.54,0,0
ETH.V,60,20200419,230000,181.51,181.83,180.41,181.67,0,0
ETH.V,60,20200419,235900,181.65,183.75,181.56,183.65,0,0
ETH.V,60,20200420,010000,183.6,183.69,181.69,182.91,0,0
