time,best_ask,best_bid,high_24h,last_size,low_24h,open_24h,price,product_id,sequence,side,time,trade_id,type,volume_24h,volume_30d,Mid,Returns,Direction
2021-01-25 21:22:15,32594.48,32579.96,34888,1.32994875,31687.39,31934.22,32594.46,BTC-USD,20416534386.0,sell,2021-01-25T21:22:14.725939Z,126261224.0,ticker,21003.89423747,1049846.65912587,32594.46,,-1
2021-01-25 21:22:30,32600.00,32599.99,34888,0.0153068,31687.39,31934.22,32600,BTC-USD,20416542933.0,buy,2021-01-25T21:22:29.788143Z,126261484.0,ticker,21052.17170680,1049894.93659520,32600.0,0.00016995309151542306,1
2021-01-25 21:22:45,32634.60,32611.46,34888,0.03017725,31687.39,31934.22,32634.6,BTC-USD,20416551807.0,buy,2021-01-25T21:22:44.874534Z,126261585.0,ticker,21064.98213614,1049907.74702454,32634.6,0.0010607868598725828,1
2021-01-25 21:23:00,32668.08,32654.52,34888,0.00523045,31687.39,31934.22,32668.08,BTC-USD,20416559937.0,buy,2021-01-25T21:22:59.454831Z,126261647.0,ticker,21071.99821165,1049914.76310005,32668.08,0.0010253791401336734,1
2021-01-25 21:23:15,32700.00,32690.12,34888,0.00543604,31687.39,31934.22,32700,BTC-USD,20416569684.0,buy,2021-01-25T21:23:14.929400Z,126261703.0,ticker,21079.69864300,1049922.46353140,32700.0,0.000976623530539285,1
2021-01-25 21:23:30,32744.63,32734.15,34888,0.002345,31687.39,31934.22,32744.63,BTC-USD,20416577781.0,buy,2021-01-25T21:23:29.819437Z,126261777.0,ticker,21083.31425264,1049926.07914104,32744.63,0.0013639012679418847,1
2021-01-25 21:23:45,32675.58,32666.67,34888,0.44,31687.39,31934.22,32674.63,BTC-USD,20416587343.0,buy,2021-01-25T21:23:44.885140Z,126261833.0,ticker,21091.13508380,1049933.89997220,32674.63,-0.0021400433669049187,-1
2021-01-25 21:24:00,32675.42,32669.73,34888,0.00295056,31687.39,31934.22,32675.42,BTC-USD,20416596273.0,buy,2021-01-25T21:23:58.988674Z,126261894.0,ticker,21100.29855582,1049943.06344422,32675.42,2.4177487240885787e-05,1
2021-01-25 21:24:15,32639.08,32631.69,34888,0.00318926,31687.39,31934.22,32639.08,BTC-USD,20416606147.0,buy,2021-01-25T21:24:14.977701Z,126261986.0,ticker,21122.31533371,1049965.08022211,32639.08,-0.0011127698673296792,-1
2021-01-25 21:24:30,32686.20,32685.30,34888,0.075,31687.39,31934.22,32685.3,BTC-USD,20416615743.0,sell,2021-01-25T21:24:29.414438Z,126262018.0,ticker,21124.89619554,1049967.66108394,32685.3,0.0014150921206724347,1
2021-01-25 21:24:45,32700.00,32699.99,34888,0.09965092,31687.39,31934.22,32700,BTC-USD,20416625212.0,buy,2021-01-25T21:24:44.718051Z,126262054.0,ticker,21128.72358529,1049971.48847369,32700.0,0.000449642358379336,1
2021-01-25 21:25:00,32688.97,32683.55,34888,0.1569296,31687.39,31934.22,32688.97,BTC-USD,20416634629.0,buy,2021-01-25T21:24:59.330486Z,126262103.0,ticker,21107.55859133,1049950.32347973,32688.97,-0.00033736576993379,-1
2021-01-25 21:25:15,32691.86,32682.25,34888,0.00628395,31687.39,31934.22,32691.86,BTC-USD,20416644627.0,buy,2021-01-25T21:25:14.910753Z,126262152.0,ticker,21113.17094734,1049955.93583574,32691.86,8.84051181939508e-05,1
