,time,low,high,open,close,volume
0,1609804800,10.4656,13.5,11.4943,12.5302,2688543.257
1,1609718400,8.4704,11.5,9.5728,11.4935,2527655.901
2,1609632000,8.0,9.7405,8.2073,9.6041,1238485.678
3,1609545600,8.0,8.646,8.351,8.2075,970527.676
4,1609459200,7.1686,8.6304,7.2554,8.341,1280085.754
5,1609372800,7.0501,7.84,7.3445,7.2544,684188.504
6,1609286400,7.2276,7.9627,7.7888,7.3297,635108.651
7,1609200000,7.3368,8.1412,7.9834,7.777,832119.04
8,1609113600,7.82,8.438,8.0781,7.9836,984995.955
9,1609027200,7.364,8.511,8.0295,8.0717,1664629.218
10,1608940800,7.2804,8.7951,7.3477,8.0116,2359479.457
11,1608854400,7.0361,8.0,7.463,7.3318,1154028.942
12,1608768000,6.5332,7.7999,7.1106,7.46,2292981.602
13,1608681600,6.344,8.4998,7.202,7.0953,7414493.092
14,1608595200,5.7011,12.9999,6.1413,7.2196,4609982.243
15,1608508800,5.6426,6.4315,5.9457,6.1413,698662.942
16,1608422400,5.6922,6.3938,6.1396,5.9649,608944.033
17,1608336000,5.9302,6.6118,6.1304,6.1372,1300521.778
18,1608249600,5.165,6.6748,5.2991,6.1306,2308266.962
19,1608163200,5.0523,5.6295,5.2723,5.3076,668577.702
20,1608076800,4.9319,5.59,5.482,5.2814,847370.508
21,1607990400,5.2147,5.6,5.6,5.4787,365625.176
