time,best_ask,best_bid,high_24h,last_size,low_24h,open_24h,price,product_id,sequence,side,time,trade_id,type,volume_24h,volume_30d,Mid,Returns,Direction
2021-01-28 17:30:00,32272.60,32270.60,32500,0.00221953,29513.72,30558.89,32272.6,BTC-USD,20544406514.0,buy,2021-01-28T17:29:59.635451Z,127081416.0,ticker,39324.46142367,1069911.62878346,,,-1
2021-01-28 17:40:00,32272.90,32270.33,32500,0.01183313,29513.72,30558.89,32272.9,BTC-USD,20544725309.0,buy,2021-01-28T17:39:59.404027Z,127084373.0,ticker,39804.82742052,1070391.99478031,,,-1
2021-01-28 17:50:00,32296.91,32296.90,32500,0.00606958,29513.72,30558.89,32296.91,BTC-USD,20545015182.0,buy,2021-01-28T17:49:57.756148Z,127086179.0,ticker,40018.95513059,1070606.12249038,,,-1
2021-01-28 18:00:00,32350.79,32349.35,32500,0.00717257,29513.72,30558.89,32349.35,BTC-USD,20545282643.0,sell,2021-01-28T17:59:59.883285Z,127088265.0,ticker,40235.95636327,1070823.12372306,,,-1
2021-01-28 18:10:00,32415.76,32414.81,32500,0.00590444,29750.01,29754.17,32415.76,BTC-USD,20545579514.0,buy,2021-01-28T18:09:58.950280Z,127090354.0,ticker,37898.39256711,1071027.15705704,,,-1
2021-01-28 18:20:00,32222.88,32217.42,32500,0.26260267,29750.01,29754.17,32222.56,BTC-USD,20545908239.0,buy,2021-01-28T18:19:59.772099Z,127092868.0,ticker,38162.08208524,1071290.84657517,,,-1
2021-01-28 18:30:00,32250.56,32250.55,32500,0.00842281,29750.01,29754.17,32250.55,BTC-USD,20546190452.0,sell,2021-01-28T18:29:59.457182Z,127095061.0,ticker,38407.95190678,1071536.71639671,,,-1
2021-01-28 18:40:00,32354.49,32354.48,32500,0.01515322,29750.01,29754.17,32354.49,BTC-USD,20546440074.0,buy,2021-01-28T18:39:59.267682Z,127096859.0,ticker,38632.45669811,1071761.22118804,,,-1
2021-01-28 18:50:00,32635.77,32633.89,32673.51,0.00780199,29750.01,29754.17,32633.89,BTC-USD,20546758040.0,sell,2021-01-28T18:49:59.708169Z,127099893.0,ticker,39051.83121905,1072180.59570898,,,-1
2021-01-28 19:00:00,32696.99,32696.98,32726.23,0.029,29750.01,29754.17,32696.99,BTC-USD,20547043882.0,buy,2021-01-28T18:59:59.506096Z,127102746.0,ticker,39455.72867787,1072584.49316780,,,-1
