trade_id,<CLOSE>,size,time,bid,ask,volume,std_dev
159240634,54171.44,0.00010194,2021-04-22T07:51:48.29018Z,54171.44,54171.45,20349.0474,nan
159240773,54129.78,0.00289753,2021-04-22T07:52:19.901349Z,54121.03,54129.87,20349.0474,nan
159240860,54144.1,0.00958997,2021-04-22T07:52:48.637295Z,54144.1,54144.11,20354.91451,nan
159240963,54198.09,0.00684335,2021-04-22T07:53:16.23635Z,54201.08,54201.09,20354.91451,nan
159241036,54222.74,0.0011854,2021-04-22T07:53:48.869784Z,54207.86,54207.87,20360.0583,34.08496208
159241129,54227.32,0.00002166,2021-04-22T07:54:19.013839Z,54228.14,54228.15,20362.80782,40.2664434
159241195,54200.02,0.00206083,2021-04-22T07:54:48.227633Z,54200.51,54206.76,20362.80782,29.59729015
159241251,54238.7,0.00018345,2021-04-22T07:55:20.177218Z,54238.69,54238.7,20366.47111,15.84644515
159241325,54248.17,0.00060523,2021-04-22T07:55:49.985144Z,54248.16,54248.17,20366.47111,16.31238057
159241414,54227.69,0.00016534,2021-04-22T07:56:19.569708Z,54209.89,54209.9,20369.3372,16.14952507
159241489,54252.71,0.00363902,2021-04-22T07:56:49.498316Z,54252.7,54252.71,20373.4569,18.79324709
159241535,54238.36,0.00141259,2021-04-22T07:57:19.510531Z,54238.35,54238.36,20373.4569,8.693322955
159241614,54245.43,0.00016519,2021-04-22T07:57:47.426817Z,54245.42,54245.43,20375.8006,8.734411028
159241678,54255.42,0.00211177,2021-04-22T07:58:19.916562Z,54255.41,54255.42,20375.8006,10.06102062
159241758,54249.32,0.00177938,2021-04-22T07:58:48.589271Z,54249.31,54249.32,20378.95572,5.970090117
159241836,54227.36,0.0008806,2021-04-22T07:59:19.818534Z,54227.35,54227.36,20382.04472,9.654889746
159241927,54188.38,0.00111616,2021-04-22T07:59:48.588962Z,54188.38,54188.39,20382.04472,24.27382162
159242042,54223.26,0.05438,2021-04-22T08:00:18.787182Z,54219.77,54219.78,20384.76671,23.6483525
159242129,54247.29,0.00666666,2021-04-22T08:00:47.750573Z,54248.21,54248.22,20384.76671,21.9791432
159242230,54204.35,0.00503252,2021-04-22T08:01:19.45892Z,54214.7,54214.71,19979.0036,20.18299423
159242284,54251.51,0.00078904,2021-04-22T08:01:49.214261Z,54251.5,54251.51,19981.36865,24.28682721
159242391,54245.75,0.00164349,2021-04-22T08:02:18.051839Z,54245.75,54245.76,19981.36865,17.97121966
159242450,54232.5,0.00041111,2021-04-22T08:02:49.785017Z,54232.49,54232.5,19984.45959,17.18526811
159242509,54254.11,0.00705035,2021-04-22T08:03:18.913966Z,54254.1,54254.11,19984.45959,18.24310018
159242628,54214.09,0.0565,2021-04-22T08:03:49.551563Z,54200.35,54200.36,19985.23785,14.77416989
